Year,Month,DOMESTIC,INTERNATIONAL,TOTAL,City
2014,2,"2,836",117,"2,953",Santa Ana
2014,3,"3,246",141,"3,387",Santa Ana
2014,4,"3,190",128,"3,318",Santa Ana
2014,5,"3,292",118,"3,410",Santa Ana
2014,6,"3,304",130,"3,434",Santa Ana
2014,7,"3,406",126,"3,532",Santa Ana
2014,8,"3,355",102,"3,457",Santa Ana
2014,9,"3,219",72,"3,291",Santa Ana
2014,10,"3,357",79,"3,436",Santa Ana
2014,11,"3,138",94,"3,232",Santa Ana
2014,12,"3,207",97,"3,304",Santa Ana
2014,TOTAL,"38,713","1,345","40,058",Santa Ana
2015,1,"3,156",94,"3,250",Santa Ana
2015,2,"2,883",84,"2,967",Santa Ana
2015,3,"3,344",97,"3,441",Santa Ana
2015,4,"3,288",114,"3,402",Santa Ana
2015,5,"3,325",123,"3,448",Santa Ana
2015,6,"3,320",142,"3,462",Santa Ana
2015,7,"3,570",155,"3,725",Santa Ana
2015,8,"3,593",132,"3,725",Santa Ana
2015,9,"3,393",120,"3,513",Santa Ana
2015,10,"3,532",141,"3,673",Santa Ana
2015,11,"3,432",156,"3,588",Santa Ana
2015,12,"3,516",163,"3,679",Santa Ana
2015,TOTAL,"40,352","1,521","41,873",Santa Ana
2016,1,"3,424",159,"3,583",Santa Ana
2016,2,"3,256",149,"3,405",Santa Ana
2016,3,"3,575",177,"3,752",Santa Ana
2016,4,"3,509",181,"3,690",Santa Ana
2016,5,"3,812",190,"4,002",Santa Ana
2016,6,"3,762",159,"3,921",Santa Ana
2016,7,"3,758",159,"3,917",Santa Ana
2016,8,"3,931",162,"4,093",Santa Ana
2016,9,"3,672",157,"3,829",Santa Ana
2016,10,"3,756",164,"3,920",Santa Ana
2016,11,"3,615",150,"3,765",Santa Ana
2016,12,"3,631",156,"3,787",Santa Ana
2016,TOTAL,"43,701","1,963","45,664",Santa Ana
2017,1,"3,476",124,"3,600",Santa Ana
2017,2,"2,996",108,"3,104",Santa Ana
2017,3,"3,550",119,"3,669",Santa Ana
2017,4,"3,486",110,"3,596",Santa Ana
2017,5,"3,733",93,"3,826",Santa Ana
2017,6,"3,697",90,"3,787",Santa Ana
2017,7,"3,757",93,"3,850",Santa Ana
2017,8,"3,838",91,"3,929",Santa Ana
2017,9,"3,726",89,"3,815",Santa Ana
2017,10,"3,935",93,"4,028",Santa Ana
2017,11,"3,688",85,"3,773",Santa Ana
2017,12,"3,776",88,"3,864",Santa Ana
2017,TOTAL,"43,658","1,183","44,841",Santa Ana
2018,1,"3,564",80,"3,644",Santa Ana
2018,2,"3,194",72,"3,266",Santa Ana
2018,3,"3,699",87,"3,786",Santa Ana
2018,4,"3,667",86,"3,753",Santa Ana
2018,5,"3,821",93,"3,914",Santa Ana
2018,6,"3,843",89,"3,932",Santa Ana
2018,7,"4,016",94,"4,110",Santa Ana
2018,8,"4,091",93,"4,184",Santa Ana
2018,9,"3,712",90,"3,802",Santa Ana
2018,10,"3,973",83,"4,056",Santa Ana
2018,11,"3,645",86,"3,731",Santa Ana
2018,12,"3,694",81,"3,775",Santa Ana
2018,TOTAL,"44,919","1,034","45,953",Santa Ana
2019,1,"3,669",76,"3,745",Santa Ana
2019,2,"3,274",71,"3,345",Santa Ana
2019,3,"3,748",87,"3,835",Santa Ana
2019,4,"3,699",86,"3,785",Santa Ana
2019,5,"3,851",93,"3,944",Santa Ana
2019,6,"3,665",72,"3,737",Santa Ana
2019,7,"3,772",68,"3,840",Santa Ana
2019,8,"3,797",45,"3,842",Santa Ana
2019,9,"3,598",59,"3,657",Santa Ana
2019,10,"3,713",52,"3,765",Santa Ana
2019,11,"3,508",55,"3,563",Santa Ana
2019,12,"3,683",58,"3,741",Santa Ana
2019,TOTAL,"43,977",822,"44,799",Santa Ana
2020,1,"3,463",36,"3,499",Santa Ana
2020,2,"3,196",29,"3,225",Santa Ana
2020,3,"2,844",21,"2,865",Santa Ana
2020,4,800,0,800,Santa Ana
2020,5,864,0,864,Santa Ana
2020,6,"1,280",0,"1,280",Santa Ana
2020,7,"2,006",0,"2,006",Santa Ana
2020,8,"2,067",0,"2,067",Santa Ana
2020,9,"1,688",0,"1,688",Santa Ana
2020,10,"1,766",0,"1,766",Santa Ana
2020,11,"1,936",0,"1,936",Santa Ana
2020,12,"1,981",0,"1,981",Santa Ana
2020,TOTAL,"23,891",86,"23,977",Santa Ana
2021,1,"2,089",0,"2,089",Santa Ana
2021,2,"1,822",0,"1,822",Santa Ana
2021,3,"2,598",40,"2,638",Santa Ana
2021,4,"2,625",60,"2,685",Santa Ana
2021,5,"2,740",62,"2,802",Santa Ana
2021,6,"3,126",60,"3,186",Santa Ana
2021,7,"3,575",61,"3,636",Santa Ana
2021,8,"3,567",62,"3,629",Santa Ana
2021,9,"3,559",59,"3,618",Santa Ana
2021,10,"3,560",82,"3,642",Santa Ana
2021,11,"3,504",98,"3,602",Santa Ana
2021,12,"3,446",106,"3,552",Santa Ana
2021,TOTAL,"36,211",690,"36,901",Santa Ana
2022,1,"3,512",104,"3,616",Santa Ana
2022,2,"3,336",90,"3,426",Santa Ana
2022,3,"3,725",112,"3,837",Santa Ana
2022,4,"3,780",115,"3,895",Santa Ana
2022,5,"4,006",124,"4,130",Santa Ana
2022,6,"3,887",123,"4,010",Santa Ana
2022,7,"3,996",128,"4,124",Santa Ana
2022,8,"4,027",128,"4,155",Santa Ana
2022,9,"3,951",120,"4,071",Santa Ana
2022,10,"4,088",124,"4,212",Santa Ana
